Day;Cell;ABF;Age (D);Rs (<25);Vm;Vm (LP14);Vh;Rin;SD;?;Cm;Peak;Time_Ampl;Threshold ;Threshold(LP14);Thres time;AP dur;maxdV/dT;Delay;Comments;rheobase pA;;;;1,67;12,26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
throny ;01.09.2022;1;1;P27 ;21;-55;-69;-61,8802;148,178;39,1005;44,5630;300,739651;32,196;120,1;-49,1023;-63,1023;119,24;1,38468;193,024;13,88;regular ;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
thorny ;02. Sep;1;0;P28 ;23;-66;-80;-57,4734;278,485;71,0974;61,105;219,4193583;26,947;127,18;-33,3807;-47,3807;126,52;1,14147;167,847;6,3;doublet;100;;;;1,37;3,08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
athorny ;02. Sep;2;6;P28 ;20;-56;-70;-60,6683;188,731;15,4347;44,054;233,4221723;24,9939;121,76;-27,8401;-41,8401;121,2;0,921908;172,424;5,56;regular ;376;;;;1,1;2,04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
athorny ;d170420;a;1;26;22;-60;-74;-62,2862;350,573;42,9217;29,342;84;37,262;142,58;-36,4205;-50,4205;141,96;1,15167;230,408;10,74;;126;;;;1,45;7,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
thorny? ;;b;28;26;18;-68;-82;-60,7478;321,626;35,6538;59,645;185;43,0298;137,68;-39,7885;-53,7885;137,14;0,975425;313,568;5,8;;50;;;;1,3;7,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sure ;d010222;a;1;24;14;-70;-84;-62,4149;482,546;33,1461;71,564;148,3050321;24,6582;142,92;-37,1083;-51,1083;142,18;1,28403;170,898;11,04;;51;;;;1,73;2,04;;;;;;;;;;;;;;;;;;;;;;;151122Cell2;pA;No.AP ;APFreq ;Max Freq;Burst_interval ;;;;;;;;;;;;;;
thorny ;d090322;b;4;25;13;-76;-90;-62,9317;349,472;18,0075;52,139;149,1936407;41,748;143,98;-35,2745;-49,2745;143,26;1,3095;222,778;11,4;;75;;;;2,46;4,38;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;16,56;100;;;;;;;;;;;;;;;;;;;;;;;;25;0;;;;;;;;;;;;;;;;;
;3/7 thorny ;;;;;;;;274,485;;55,3215;225,4715534;27,198775;127,99;-36,8579;-50,85785;127,285;1,183022;176,04825;;;156,75;;;;2,26;3,87;;;;;;;;;;;;;;;;;;;;;;;;50;0;;;;;;;;;;;;;;;;;
;4/7 athorny ;;;;;;;;340,557;;47,042;139;40,67993333;141,4133333;-37,16116667;-51,16116667;140,7866667;1,145531667;255,5846667;;;83,66666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;75;0;;;;;161122Cell1;pA;No.AP ;APFreq ;max Freq.;Burst_interval ;;;;;;;
